COUNTRY_CODE,COUNTRY_NAME,CONFIRMED,DEATHS,RECOVERED,ACTIVE,REGION_NAME,REGION_CODE,REPORT_ID,REPORT_DATE,PROV_ID,PROV_NAME,DATA_ID
154,Somalia,3196,93,1543,1560,Eastern Mediterranean,5,154,2020-08-11,2,WHO,154
155,South Africa,452529,7067,274925,170537,Africa,3,155,2020-08-12,2,WHO,155
156,South Korea,14203,300,13007,896,Western Pacific,4,156,2020-08-13,2,WHO,156
157,South Sudan,2305,46,1175,1084,Africa,3,157,2020-08-14,2,WHO,157
158,Spain,272421,28432,150376,93613,Europe,2,158,2020-08-15,2,WHO,158
159,Sri Lanka,2805,11,2121,673,South-East Asia,6,159,2020-08-16,2,WHO,159
160,Sudan,11424,720,5939,4765,Eastern Mediterranean,5,160,2020-08-17,2,WHO,160
161,Suriname,1483,24,925,534,Americas,1,161,2020-08-18,2,WHO,161
162,Sweden,79395,5700,0,73695,Europe,2,162,2020-08-19,2,WHO,162
163,Switzerland,34477,1978,30900,1599,Europe,2,163,2020-08-20,2,WHO,163
164,Syria,674,40,0,634,Eastern Mediterranean,5,164,2020-08-21,2,WHO,164
165,Taiwan*,462,7,440,15,Western Pacific,4,165,2020-08-22,2,WHO,165
166,Tajikistan,7235,60,6028,1147,Europe,2,166,2020-08-23,2,WHO,166
167,Tanzania,509,21,183,305,Africa,3,167,2020-08-24,2,WHO,167
168,Thailand,3297,58,3111,128,South-East Asia,6,168,2020-08-25,2,WHO,168
169,Timor-Leste,24,0,0,24,South-East Asia,6,169,2020-08-26,2,WHO,169
170,Togo,874,18,607,249,Africa,3,170,2020-08-27,2,WHO,170
171,Trinidad and Tobago,148,8,128,12,Americas,1,171,2020-08-28,2,WHO,171
172,Tunisia,1455,50,1157,248,Eastern Mediterranean,5,172,2020-08-29,2,WHO,172
173,Turkey,227019,5630,210469,10920,Europe,2,173,2020-08-30,2,WHO,173
174,US,4290259,148011,1325804,2816444,Americas,1,174,2020-08-31,1,CDC,174
175,Uganda,1128,2,986,140,Africa,3,175,2020-09-01,3,DWB,175
176,Ukraine,67096,1636,37202,28258,Europe,2,176,2020-09-02,3,DWB,176
177,United Arab Emirates,59177,345,52510,6322,Eastern Mediterranean,5,177,2020-09-03,3,DWB,177
178,United Kingdom,301708,45844,1437,254427,Europe,2,178,2020-09-04,3,DWB,178
179,Uruguay,1202,35,951,216,Americas,1,179,2020-09-05,3,DWB,179
180,Uzbekistan,21209,121,11674,9414,Europe,2,180,2020-09-06,3,DWB,180
181,Venezuela,15988,146,9959,5883,Americas,1,181,2020-09-07,3,DWB,181
182,Vietnam,431,0,365,66,Western Pacific,4,182,2020-09-08,3,DWB,182
183,West Bank and Gaza,10621,78,3752,6791,Eastern Mediterranean,5,183,2020-09-09,3,DWB,183
184,Western Sahara,10,1,8,1,Africa,3,184,2020-09-10,3,DWB,184
185,Yemen,1691,483,833,375,Eastern Mediterranean,5,185,2020-09-11,3,DWB,185
186,Zambia,4552,140,2815,1597,Africa,3,186,2020-09-12,3,DWB,186
187,Zimbabwe,2704,36,542,2126,Africa,3,187,2020-09-13,3,DWB,187
